연도,조사기간,정당,지지율
2006,9월 3주차,열린우리당,23.5
2006,9월 3주차,한나라당,45
2006,9월 3주차,민주당,7.6
2006,9월 3주차,민주노동당,7
2006,9월 3주차,국민중심당,16.9
2006,9월 3주차,기타·무당층,NA
2006,9월 4주차,열린우리당,21.8
2006,9월 4주차,한나라당,41.3
2006,9월 4주차,민주당,7.9
2006,9월 4주차,민주노동당,7.8
2006,9월 4주차,국민중심당,21.2
2006,9월 4주차,기타·무당층,NA
2006,10월 2주차,열린우리당,22.1
2006,10월 2주차,한나라당,47.6
2006,10월 2주차,민주당,5.8
2006,10월 2주차,민주노동당,6.5
2006,10월 2주차,국민중심당,18
2006,10월 2주차,기타·무당층,NA
2006,10월 3주차,열린우리당,19.3
2006,10월 3주차,한나라당,45.8
2006,10월 3주차,민주당,6.9
2006,10월 3주차,민주노동당,8.1
2006,10월 3주차,국민중심당,19.9
2006,10월 3주차,기타·무당층,NA
2006,10월 4주차,열린우리당,20.9
2006,10월 4주차,한나라당,46.8
2006,10월 4주차,민주당,7.1
2006,10월 4주차,민주노동당,6.3
2006,10월 4주차,국민중심당,18.9
2006,10월 4주차,기타·무당층,NA
2006,11월 1주차,열린우리당,19.8
2006,11월 1주차,한나라당,44.4
2006,11월 1주차,민주당,7.7
2006,11월 1주차,민주노동당,6.9
2006,11월 1주차,국민중심당,21.2
2006,11월 1주차,기타·무당층,NA
2006,11월 2주차,열린우리당,20.5
2006,11월 2주차,한나라당,46.9
2006,11월 2주차,민주당,7.4
2006,11월 2주차,민주노동당,6.3
2006,11월 2주차,국민중심당,18.9
2006,11월 2주차,기타·무당층,NA
2006,11월 3주차,열린우리당,16.9
2006,11월 3주차,한나라당,47.1
2006,11월 3주차,민주당,6.6
2006,11월 3주차,민주노동당,6.9
2006,11월 3주차,국민중심당,22.5
2006,11월 3주차,기타·무당층,NA
2006,11월 4주차,열린우리당,15.9
2006,11월 4주차,한나라당,45.8
2006,11월 4주차,민주당,6.9
2006,11월 4주차,민주노동당,7.7
2006,11월 4주차,국민중심당,23.7
2006,11월 4주차,기타·무당층,NA
2006,11월 5주차,열린우리당,17.4
2006,11월 5주차,한나라당,42.9
2006,11월 5주차,민주당,7.1
2006,11월 5주차,민주노동당,5.8
2006,11월 5주차,국민중심당,26.8
2006,11월 5주차,기타·무당층,NA
2006,12월 1주차,열린우리당,16.7
2006,12월 1주차,한나라당,46.2
2006,12월 1주차,민주당,7.3
2006,12월 1주차,민주노동당,5.9
2006,12월 1주차,국민중심당,23.9
2006,12월 1주차,기타·무당층,NA
2006,12월 2주차,열린우리당,19.8
2006,12월 2주차,한나라당,45.3
2006,12월 2주차,민주당,4.7
2006,12월 2주차,민주노동당,8.4
2006,12월 2주차,국민중심당,21.8
2006,12월 2주차,기타·무당층,NA
2006,12월 3주차,열린우리당,15.6
2006,12월 3주차,한나라당,50.4
2006,12월 3주차,민주당,5.4
2006,12월 3주차,민주노동당,9.1
2006,12월 3주차,국민중심당,19.5
2006,12월 3주차,기타·무당층,NA
2006,12월 4주차,열린우리당,16.8
2006,12월 4주차,한나라당,44.2
2006,12월 4주차,민주당,6.7
2006,12월 4주차,민주노동당,6.7
2006,12월 4주차,국민중심당,25.6
2006,12월 4주차,기타·무당층,NA
2007,1월 1주차,열린우리당,17.2
2007,1월 1주차,한나라당,50.4
2007,1월 1주차,민주당,5.2
2007,1월 1주차,민주노동당,5.2
2007,1월 1주차,국민중심당,22
2007,1월 1주차,기타·무당층,NA
2007,1월 2주차,열린우리당,16.2
2007,1월 2주차,한나라당,50.5
2007,1월 2주차,민주당,6.7
2007,1월 2주차,민주노동당,5.5
2007,1월 2주차,국민중심당,21.1
2007,1월 2주차,기타·무당층,NA
2007,1월 3주차,열린우리당,21.9
2007,1월 3주차,한나라당,51.1
2007,1월 3주차,민주당,3.9
2007,1월 3주차,민주노동당,5.5
2007,1월 3주차,국민중심당,17.6
2007,1월 3주차,기타·무당층,NA
2007,1월 4주차,열린우리당,19.3
2007,1월 4주차,한나라당,46.4
2007,1월 4주차,민주당,5.4
2007,1월 4주차,민주노동당,6.4
2007,1월 4주차,국민중심당,22.5
2007,1월 4주차,기타·무당층,NA
2007,1월 5주차,열린우리당,17.4
2007,1월 5주차,한나라당,48.1
2007,1월 5주차,민주당,6.4
2007,1월 5주차,민주노동당,6.9
2007,1월 5주차,국민중심당,21.2
2007,1월 5주차,기타·무당층,NA
2007,2월 1주차,열린우리당,14.9
2007,2월 1주차,한나라당,50.2
2007,2월 1주차,민주당,5.5
2007,2월 1주차,민주노동당,5.9
2007,2월 1주차,국민중심당,23.5
2007,2월 1주차,기타·무당층,NA
2007,2월 2주차,열린우리당,14.5
2007,2월 2주차,한나라당,48.7
2007,2월 2주차,민주당,4.9
2007,2월 2주차,민주노동당,7.1
2007,2월 2주차,국민중심당,24.8
2007,2월 2주차,기타·무당층,NA
2007,2월 3주차,열린우리당,16.6
2007,2월 3주차,한나라당,50.5
2007,2월 3주차,민주당,5
2007,2월 3주차,민주노동당,6.8
2007,2월 3주차,국민중심당,21.1
2007,2월 3주차,기타·무당층,NA
2007,2월 4주차,열린우리당,15.2
2007,2월 4주차,한나라당,49.6
2007,2월 4주차,민주당,4.7
2007,2월 4주차,민주노동당,6.6
2007,2월 4주차,국민중심당,23.9
2007,2월 4주차,기타·무당층,NA
2007,3월 1주차,열린우리당,15.5
2007,3월 1주차,한나라당,50.9
2007,3월 1주차,민주당,5.8
2007,3월 1주차,민주노동당,5
2007,3월 1주차,국민중심당,22.8
2007,3월 1주차,기타·무당층,NA
2007,3월 2주차,열린우리당,15.1
2007,3월 2주차,한나라당,51.4
2007,3월 2주차,민주당,5.9
2007,3월 2주차,민주노동당,5.9
2007,3월 2주차,국민중심당,21.7
2007,3월 2주차,기타·무당층,NA
2007,3월 3주차,열린우리당,13.6
2007,3월 3주차,한나라당,51.2
2007,3월 3주차,민주당,4.2
2007,3월 3주차,민주노동당,6.6
2007,3월 3주차,국민중심당,24.4
2007,3월 3주차,기타·무당층,NA
2007,4월 1주차,열린우리당,14.6
2007,4월 1주차,한나라당,52.5
2007,4월 1주차,민주당,5.6
2007,4월 1주차,민주노동당,4.4
2007,4월 1주차,국민중심당,24.4
2007,4월 1주차,기타·무당층,NA
2007,4월 2주차,열린우리당,14.9
2007,4월 2주차,한나라당,49
2007,4월 2주차,민주당,5.5
2007,4월 2주차,민주노동당,5.9
2007,4월 2주차,국민중심당,24.7
2007,4월 2주차,기타·무당층,NA
2007,4월 3주차,열린우리당,14.2
2007,4월 3주차,한나라당,52
2007,4월 3주차,민주당,4.9
2007,4월 3주차,민주노동당,7.2
2007,4월 3주차,국민중심당,21.7
2007,4월 3주차,기타·무당층,NA
2007,4월 4주차,열린우리당,11.8
2007,4월 4주차,한나라당,54.2
2007,4월 4주차,민주당,4.6
2007,4월 4주차,민주노동당,7.3
2007,4월 4주차,국민중심당,22.1
2007,4월 4주차,기타·무당층,NA
2007,5월 1주차,열린우리당,15.8
2007,5월 1주차,한나라당,40.9
2007,5월 1주차,민주당,4.7
2007,5월 1주차,민주노동당,7.2
2007,5월 1주차,국민중심당,31.4
2007,5월 1주차,기타·무당층,NA
2007,5월 2주차,열린우리당,13.7
2007,5월 2주차,한나라당,46.1
2007,5월 2주차,민주당,5.2
2007,5월 2주차,민주노동당,6.7
2007,5월 2주차,국민중심당,2.3
2007,5월 2주차,기타·무당층,26
2007,5월 3주차,열린우리당,14.8
2007,5월 3주차,한나라당,53.1
2007,5월 3주차,민주당,6.7
2007,5월 3주차,민주노동당,7
2007,5월 3주차,국민중심당,18.4
2007,5월 3주차,기타·무당층,NA
2007,5월 4주차,열린우리당,12.5
2007,5월 4주차,한나라당,49.7
2007,5월 4주차,중도개혁통합신당,2.8
2007,5월 4주차,민주당,6
2007,5월 4주차,민주노동당,7.6
2007,5월 4주차,국민중심당,1.7
2007,5월 4주차,기타·무당층,19.7
2007,5월 5주차,열린우리당,11.3
2007,5월 5주차,한나라당,52.1
2007,5월 5주차,중도개혁통합신당,3.4
2007,5월 5주차,민주당,5
2007,5월 5주차,민주노동당,7.5
2007,5월 5주차,국민중심당,0.9
2007,5월 5주차,기타·무당층,19.8
2007,6월 1주차,열린우리당,13.7
2007,6월 1주차,한나라당,52.2
2007,6월 1주차,중도통합민주당,7.7
2007,6월 1주차,민주노동당,3.7
2007,6월 1주차,국민중심당,0.9
2007,6월 1주차,기타·무당층,21.8
2007,6월 2주차,열린우리당,12.2
2007,6월 2주차,한나라당,53.7
2007,6월 2주차,중도통합민주당,8.9
2007,6월 2주차,민주노동당,3.9
2007,6월 2주차,국민중심당,2.1
2007,6월 2주차,기타·무당층,19.2
2007,6월 3주차,열린우리당,15.4
2007,6월 3주차,한나라당,49.8
2007,6월 3주차,중도통합민주당,8.7
2007,6월 3주차,민주노동당,3.8
2007,6월 3주차,국민중심당,1.6
2007,6월 3주차,기타·무당층,20.7
2007,6월 4주차,열린우리당,13.1
2007,6월 4주차,한나라당,50.8
2007,6월 4주차,중도통합민주당,9.3
2007,6월 4주차,민주노동당,4.7
2007,6월 4주차,국민중심당,1.6
2007,6월 4주차,기타·무당층,20.5
2007,7월 1주차,열린우리당,14.3
2007,7월 1주차,한나라당,56.8
2007,7월 1주차,중도통합민주당,5.9
2007,7월 1주차,민주노동당,5.2
2007,7월 1주차,국민중심당,1.2
2007,7월 1주차,기타·무당층,16.6
2007,7월 2주차,열린우리당,10.7
2007,7월 2주차,한나라당,52.8
2007,7월 2주차,중도통합민주당,6.9
2007,7월 2주차,민주노동당,5.1
2007,7월 2주차,국민중심당,1
2007,7월 2주차,기타·무당층,23.5
2007,7월 3주차,열린우리당,12.1
2007,7월 3주차,한나라당,52.8
2007,7월 3주차,중도통합민주당,7.8
2007,7월 3주차,민주노동당,4.7
2007,7월 3주차,국민중심당,1.8
2007,7월 3주차,기타·무당층,20.8
2007,7월 4주차,열린우리당,11.9
2007,7월 4주차,한나라당,56.3
2007,7월 4주차,중도통합민주당,8.1
2007,7월 4주차,민주노동당,5.4
2007,7월 4주차,국민중심당,0.9
2007,7월 4주차,기타·무당층,17.4
2007,8월 1주차,열린우리당,9.7
2007,8월 1주차,한나라당,53.4
2007,8월 1주차,중도통합민주당,7.8
2007,8월 1주차,민주노동당,4.8
2007,8월 1주차,국민중심당,1.6
2007,8월 1주차,기타·무당층,22.7
2007,8월 2주차,열린우리당,5.6
2007,8월 2주차,한나라당,53.7
2007,8월 2주차,대통합민주신당,12.8
2007,8월 2주차,민주노동당,5.5
2007,8월 2주차,민주당,6
2007,8월 2주차,국민중심당,1.6
2007,8월 2주차,기타·무당층,14.8
2007,8월 3주차,열린우리당,4.8
2007,8월 3주차,한나라당,57.9
2007,8월 3주차,대통합민주신당,11.4
2007,8월 3주차,민주노동당,3.7
2007,8월 3주차,민주당,4.2
2007,8월 3주차,국민중심당,18
2007,8월 3주차,기타·무당층,NA
2007,8월 4주차,대통합민주신당,NA
2007,8월 5주차,대통합민주신당,NA
2007,9월 1주차,대통합민주신당,NA
2007,9월 2주차,대통합민주신당,NA
2007,9월 3주차,대통합민주신당,NA
2007,9월 4주차,대통합민주신당,NA
2007,10월 1주차,대통합민주신당,NA
2007,10월 2주차,대통합민주신당,NA
2007,10월 3주차,대통합민주신당,17
2007,10월 3주차,한나라당,47.4
2007,10월 3주차,민주노동당,5.6
2007,10월 3주차,민주당,7.5
2007,10월 3주차,국민중심당,1.5
2007,10월 3주차,창조한국당,21
2007,10월 3주차,기타·무당층,NA
2007,10월 4주차,대통합민주신당,20.7
2007,10월 4주차,한나라당,49.2
2007,10월 4주차,민주노동당,6.8
2007,10월 4주차,민주당,3.8
2007,10월 4주차,국민중심당,2.1
2007,10월 4주차,창조한국당,17.4
2007,10월 4주차,기타·무당층,NA
2007,10월 5주차,대통합민주신당,12.1
2007,10월 5주차,한나라당,56
2007,10월 5주차,민주노동당,5.7
2007,10월 5주차,민주당,2.6
2007,10월 5주차,국민중심당,0.9
2007,10월 5주차,창조한국당,22.7
2007,10월 5주차,기타·무당층,NA
2007,11월 1주차,대통합민주신당,9.5
2007,11월 1주차,한나라당,49.7
2007,11월 1주차,민주노동당,7.2
2007,11월 1주차,민주당,5.5
2007,11월 1주차,국민중심당,0.9
2007,11월 1주차,창조한국당,1.6
2007,11월 1주차,기타·무당층,25.6
2007,11월 2주차,대통합민주신당,11.7
2007,11월 2주차,한나라당,47.7
2007,11월 2주차,민주노동당,5.7
2007,11월 2주차,민주당,4.9
2007,11월 2주차,국민중심당,0.4
2007,11월 2주차,창조한국당,1.2
2007,11월 2주차,기타·무당층,28.4
2007,11월 3주차,대통합민주신당,11.9
2007,11월 3주차,한나라당,45.7
2007,11월 3주차,민주노동당,6.6
2007,11월 3주차,민주당,4.6
2007,11월 3주차,국민중심당,0.5
2007,11월 3주차,창조한국당,0.8
2007,11월 3주차,기타·무당층,29.9
2007,11월 4주차,대통합민주신당,11.3
2007,11월 4주차,한나라당,43.8
2007,11월 4주차,민주노동당,5.2
2007,11월 4주차,민주당,6.9
2007,11월 4주차,국민중심당,2
2007,11월 4주차,창조한국당,5.1
2007,11월 4주차,기타·무당층,25.7
2007,12월 1주차,대통합민주신당,10.9
2007,12월 1주차,한나라당,39.4
2007,12월 1주차,민주노동당,4.6
2007,12월 1주차,민주당,3.2
2007,12월 1주차,국민중심당,0.4
2007,12월 1주차,창조한국당,2.7
2007,12월 1주차,기타·무당층,38.8
2007,12월 2주차,대통합민주신당,11.9
2007,12월 2주차,한나라당,42.1
2007,12월 2주차,민주노동당,4.3
2007,12월 2주차,민주당,2.5
2007,12월 2주차,국민중심당,0.3
2007,12월 2주차,창조한국당,1.4
2007,12월 2주차,기타·무당층,37.5
2007,12월 3주차,대통합민주신당,25.3
2007,12월 3주차,한나라당,47.1
2007,12월 3주차,민주노동당,5.3
2007,12월 3주차,민주당,1.7
2007,12월 3주차,국민중심당,1.7
2007,12월 3주차,창조한국당,3.2
2007,12월 3주차,기타·무당층,15.7
2007,12월 4주차,대통합민주신당,15.6
2007,12월 4주차,한나라당,54.9
2007,12월 4주차,민주노동당,4.3
2007,12월 4주차,민주당,1.8
2007,12월 4주차,국민중심당,2.6
2007,12월 4주차,창조한국당,2.2
2007,12월 4주차,기타·무당층,18.6
2008,1월 1주차,대통합민주신당,14.2
2008,1월 1주차,한나라당,52.6
2008,1월 1주차,민주노동당,8.1
2008,1월 1주차,민주당,2.5
2008,1월 1주차,국민중심당,2.7
2008,1월 1주차,창조한국당,4.1
2008,1월 1주차,기타·무당층,15.8
2008,1월 2주차,대통합민주신당,18.3
2008,1월 2주차,한나라당,49.6
2008,1월 2주차,민주노동당,4.6
2008,1월 2주차,민주당,1.6
2008,1월 2주차,국민중심당,5.8
2008,1월 2주차,창조한국당,20.1
2008,1월 2주차,기타·무당층,NA
2008,1월 3주차,대통합민주신당,17.4
2008,1월 3주차,한나라당,52
2008,1월 3주차,민주노동당,6.2
2008,1월 3주차,민주당,1.8
2008,1월 3주차,국민중심당,1.2
2008,1월 3주차,창조한국당,2.5
2008,1월 3주차,기타·무당층,18.9
2008,1월 4주차,대통합민주신당,11.6
2008,1월 4주차,한나라당,58.9
2008,1월 4주차,민주노동당,2.9
2008,1월 4주차,민주당,2
2008,1월 4주차,자유선진당,6
2008,1월 4주차,창조한국당,4
2008,1월 4주차,기타·무당층,14.6
2008,1월 5주차,대통합민주신당,13.5
2008,1월 5주차,한나라당,51.7
2008,1월 5주차,민주노동당,0.8
2008,1월 5주차,민주당,4.2
2008,1월 5주차,자유선진당,3.6
2008,1월 5주차,창조한국당,26.2
2008,1월 5주차,기타·무당층,NA
2008,2월 2주차,통합민주당,10.4
2008,2월 2주차,한나라당,51.5
2008,2월 2주차,민주노동당,6.3
2008,2월 2주차,자유선진당,8
2008,2월 2주차,창조한국당,2.3
2008,2월 2주차,기타·무당층,21.5
2008,2월 3주차,통합민주당,19
2008,2월 3주차,한나라당,52.1
2008,2월 3주차,민주노동당,4.3
2008,2월 3주차,자유선진당,5.2
2008,2월 3주차,창조한국당,2.8
2008,2월 3주차,기타·무당층,16.6
2008,2월 4주차,한나라당,NA
2008,3월 1주차,한나라당,NA
2008,3월 2주차,한나라당,54
2008,3월 2주차,통합민주당,19.2
2008,3월 2주차,자유선진당,4.8
2008,3월 2주차,민주노동당,6.2
2008,3월 2주차,미래한국당,2.8
2008,3월 2주차,창조한국당,1
2008,3월 2주차,진보신당,12
2008,3월 2주차,기타·무당층,NA
2008,3월 3주차,한나라당,48.9
2008,3월 3주차,통합민주당,20
2008,3월 3주차,자유선진당,6.6
2008,3월 3주차,민주노동당,3.5
2008,3월 3주차,미래한국당,0.2
2008,3월 3주차,창조한국당,1
2008,3월 3주차,진보신당,1.2
2008,3월 3주차,기타·무당층,18.6
2008,3월 4주차,한나라당,48.9
2008,3월 4주차,통합민주당,20.2
2008,3월 4주차,자유선진당,3.7
2008,3월 4주차,민주노동당,3.8
2008,3월 4주차,친박연대,7.1
2008,3월 4주차,창조한국당,2.6
2008,3월 4주차,진보신당,4.6
2008,3월 4주차,기타·무당층,9.1
2008,4월 1주차,한나라당,48.4
2008,4월 1주차,통합민주당,18.5
2008,4월 1주차,자유선진당,4.8
2008,4월 1주차,민주노동당,3.7
2008,4월 1주차,친박연대,6.8
2008,4월 1주차,창조한국당,3.6
2008,4월 1주차,진보신당,1.9
2008,4월 1주차,기타·무당층,12.3
2008,4월 2주차,한나라당,45.8
2008,4월 2주차,통합민주당,18.3
2008,4월 2주차,자유선진당,7.4
2008,4월 2주차,민주노동당,5.1
2008,4월 2주차,친박연대,8.6
2008,4월 2주차,창조한국당,6.2
2008,4월 2주차,진보신당,4
2008,4월 2주차,기타·무당층,4.6
2008,4월 3주차,한나라당,37.7
2008,4월 3주차,통합민주당,20.6
2008,4월 3주차,자유선진당,7
2008,4월 3주차,민주노동당,8
2008,4월 3주차,친박연대,10.5
2008,4월 3주차,창조한국당,3.3
2008,4월 3주차,진보신당,4.9
2008,4월 3주차,기타·무당층,8
2008,4월 4주차,한나라당,40.5
2008,4월 4주차,통합민주당,15.6
2008,4월 4주차,자유선진당,5.5
2008,4월 4주차,민주노동당,7
2008,4월 4주차,친박연대,12.4
2008,4월 4주차,창조한국당,4.7
2008,4월 4주차,진보신당,4.1
2008,4월 4주차,기타·무당층,10.2
2008,4월 5주차,한나라당,33.4
2008,4월 5주차,통합민주당,22.1
2008,4월 5주차,자유선진당,6.1
2008,4월 5주차,민주노동당,5.3
2008,4월 5주차,친박연대,10.5
2008,4월 5주차,창조한국당,6
2008,4월 5주차,진보신당,4.4
2008,4월 5주차,기타·무당층,12.2
2008,5월 1주차,한나라당,26.3
2008,5월 1주차,통합민주당,25.2
2008,5월 1주차,자유선진당,7
2008,5월 1주차,민주노동당,9.2
2008,5월 1주차,친박연대,6.7
2008,5월 1주차,창조한국당,4.2
2008,5월 1주차,진보신당,5.6
2008,5월 1주차,기타·무당층,15.8
2008,5월 2주차,한나라당,31.3
2008,5월 2주차,통합민주당,16.9
2008,5월 2주차,자유선진당,6.4
2008,5월 2주차,민주노동당,7.7
2008,5월 2주차,친박연대,6.5
2008,5월 2주차,창조한국당,3.1
2008,5월 2주차,진보신당,1.8
2008,5월 2주차,기타·무당층,26.3
2008,5월 3주차,한나라당,45.4
2008,5월 3주차,통합민주당,18.6
2008,5월 3주차,자유선진당,5.1
2008,5월 3주차,민주노동당,7.7
2008,5월 3주차,친박연대,4.2
2008,5월 3주차,창조한국당,3.8
2008,5월 3주차,진보신당,2.2
2008,5월 3주차,기타·무당층,13
2008,5월 4주차,한나라당,32.9
2008,5월 4주차,통합민주당,23.1
2008,5월 4주차,자유선진당,7.8
2008,5월 4주차,민주노동당,10.3
2008,5월 4주차,친박연대,6.2
2008,5월 4주차,창조한국당,2.1
2008,5월 4주차,진보신당,3.2
2008,5월 4주차,기타·무당층,14.4
2008,6월 1주차,한나라당,27.2
2008,6월 1주차,통합민주당,25.1
2008,6월 1주차,자유선진당,7.6
2008,6월 1주차,친박연대,5.5
2008,6월 1주차,민주노동당,9.9
2008,6월 1주차,창조한국당,3.4
2008,6월 1주차,진보신당,3.6
2008,6월 1주차,기타·무당층,17.7
2008,6월 2주차,한나라당,34.1
2008,6월 2주차,통합민주당,24.7
2008,6월 2주차,자유선진당,4.7
2008,6월 2주차,친박연대,3.4
2008,6월 2주차,민주노동당,7.7
2008,6월 2주차,창조한국당,4
2008,6월 2주차,진보신당,4.3
2008,6월 2주차,기타·무당층,17.1
2008,6월 3주차,한나라당,39.7
2008,6월 3주차,통합민주당,21.5
2008,6월 3주차,자유선진당,5.1
2008,6월 3주차,친박연대,3.3
2008,6월 3주차,민주노동당,7
2008,6월 3주차,창조한국당,5.3
2008,6월 3주차,진보신당,2.7
